antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric,weighted_support,rule_type
frozenset({'HAND WARMER OWL DESIGN'}),frozenset({'HAND WARMER UNION JACK'}),0.03276553106212425,0.02399799599198397,0.011823647294589179,0.36085626911314983,15.036933468681568,0.011037340211485095,1.5270461976584748,0.9651197397138327,0.02861159798446178,Ít giá trị kinh doanh
frozenset({'HAND WARMER UNION JACK'}),frozenset({'HAND WARMER OWL DESIGN'}),0.02399799599198397,0.03276553106212425,0.011823647294589179,0.49269311064718163,15.036933468681568,0.011037340211485095,1.9066062165483233,0.956449961239939,0.02861159798446178,Ít giá trị kinh doanh
frozenset({'HAND WARMER UNION JACK'}),frozenset({'HAND WARMER SCOTTY DOG DESIGN'}),0.02399799599198397,0.02745490981963928,0.010771543086172345,0.4488517745302714,16.348688721942,0.01011268027036036,1.7645799174105787,0.9619170975177961,0.027808118706093055,Ít giá trị kinh doanh
frozenset({'HAND WARMER SCOTTY DOG DESIGN'}),frozenset({'HAND WARMER UNION JACK'}),0.02745490981963928,0.02399799599198397,0.010771543086172345,0.39233576642335766,16.348688721942,0.01011268027036036,1.6061534480372157,0.9653362341203474,0.027808118706093055,Ít giá trị kinh doanh
frozenset({'HOME BUILDING BLOCK WORD'}),frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),0.03892785571142285,0.11302605210420842,0.01277555110220441,0.3281853281853282,2.9036255100084887,0.008375689254260023,1.3202658189943104,0.6821579155563596,0.03152867965793289,Ít giá trị kinh doanh
frozenset({'LOVE BUILDING BLOCK WORD'}),frozenset({'HOME BUILDING BLOCK WORD'}),0.03151302605210421,0.03892785571142285,0.014879759519038076,0.47217806041335453,12.129567678057343,0.013653024987851453,1.8208264420407079,0.9474126710172438,0.024295932717516764,Ít giá trị kinh doanh
frozenset({'HOME BUILDING BLOCK WORD'}),frozenset({'LOVE BUILDING BLOCK WORD'}),0.03892785571142285,0.03151302605210421,0.014879759519038076,0.3822393822393822,12.129567678057343,0.013653024987851453,1.5677382890781562,0.9547221155937206,0.024295932717516764,Ít giá trị kinh doanh
frozenset({'LOVE BUILDING BLOCK WORD'}),frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),0.03151302605210421,0.11302605210420842,0.011122244488977955,0.3529411764705882,3.122653316645807,0.007560451564451547,1.370777919475314,0.7018778128394806,0.025628847358551823,Ít giá trị kinh doanh
"frozenset({""POPPY'S PLAYHOUSE KITCHEN""})","frozenset({""POPPY'S PLAYHOUSE BEDROOM ""})",0.0218436873747495,0.021192384769539076,0.0156813627254509,0.7178899082568807,33.874899689851866,0.015218442897819687,3.469594473499845,0.9921518727176448,0.04484788577244345,Ít giá trị kinh doanh
"frozenset({""POPPY'S PLAYHOUSE BEDROOM ""})","frozenset({""POPPY'S PLAYHOUSE KITCHEN""})",0.021192384769539076,0.0218436873747495,0.0156813627254509,0.739952718676123,33.874899689851866,0.015218442897819687,3.761455638549828,0.9914916907887239,0.04484788577244345,Ít giá trị kinh doanh
frozenset({'JAM MAKING SET PRINTED'}),frozenset({'JAM MAKING SET WITH JARS'}),0.058216432865731464,0.056713426853707415,0.023647294589178358,0.4061962134251291,7.162258321524361,0.020345641182163927,1.5885492724579595,0.9135636499375158,0.09071122859298089,Phổ biến & Giá trị cao
frozenset({'JAM MAKING SET WITH JARS'}),frozenset({'JAM MAKING SET PRINTED'}),0.056713426853707415,0.058216432865731464,0.023647294589178358,0.4169611307420495,7.162258321524361,0.020345641182163927,1.6153015121151397,0.9121080035864363,0.09071122859298089,Phổ biến & Giá trị cao
frozenset({'JAM MAKING SET WITH JARS'}),frozenset({'SET OF 3 CAKE TINS PANTRY DESIGN '}),0.056713426853707415,0.06938877755511022,0.01903807615230461,0.3356890459363958,4.837800257682643,0.015102800791964691,1.4008668933611905,0.8409899030559189,0.07284807071913346,Ít giá trị kinh doanh
"frozenset({'JAM MAKING SET PRINTED', 'JAM MAKING SET WITH JARS'})",frozenset({'SET OF 3 CAKE TINS PANTRY DESIGN '}),0.023647294589178358,0.06938877755511022,0.01032064128256513,0.43644067796610164,6.289787676681147,0.00867978441853647,1.6513101390751426,0.8613814625280978,0.053703387180623084,Ít giá trị kinh doanh
"frozenset({'JAM MAKING SET PRINTED', 'SET OF 3 CAKE TINS PANTRY DESIGN '})",frozenset({'JAM MAKING SET WITH JARS'}),0.017384769539078155,0.056713426853707415,0.01032064128256513,0.5936599423631124,10.467714178063359,0.00933469142694206,2.32142156653733,0.9204703240717594,0.053703387180623084,Ít giá trị kinh doanh
"frozenset({'JAM MAKING SET WITH JARS', 'SET OF 3 CAKE TINS PANTRY DESIGN '})",frozenset({'JAM MAKING SET PRINTED'}),0.01903807615230461,0.058216432865731464,0.01032064128256513,0.5421052631578946,9.31189419331461,0.009212312400351804,2.0567687098334595,0.9099338536449912,0.053703387180623084,Ít giá trị kinh doanh
frozenset({'ALARM CLOCK BAKELIKE RED '}),frozenset({'ALARM CLOCK BAKELIKE GREEN'}),0.052655310621242485,0.04909819639278557,0.03206412825651302,0.6089438629876308,12.402570923707255,0.029478847474508133,2.431624806791198,0.9704720635676134,0.09044217873140845,Phổ biến & Giá trị cao
frozenset({'ALARM CLOCK BAKELIKE GREEN'}),frozenset({'ALARM CLOCK BAKELIKE RED '}),0.04909819639278557,0.052655310621242485,0.03206412825651302,0.6530612244897959,12.402570923707255,0.029478847474508133,2.730581751738771,0.9668417413066386,0.09044217873140845,Phổ biến & Giá trị cao
frozenset({'RED TOADSTOOL LED NIGHT LIGHT'}),frozenset({'JUMBO BAG RED RETROSPOT'}),0.04253507014028056,0.10465931863727455,0.014929859719438878,0.3510011778563016,3.3537498851181327,0.010478168260368433,1.3795721206478293,0.7330047103832468,0.07268156162320273,Ít giá trị kinh doanh
frozenset({'ALARM CLOCK BAKELIKE RED '}),frozenset({'ALARM CLOCK BAKELIKE PINK'}),0.052655310621242485,0.039228456913827654,0.023547094188376753,0.44719314938154137,11.399712977848743,0.02148150760438713,1.737987765548308,0.9629847545298141,0.061489010694418075,Phổ biến & Giá trị cao
frozenset({'ALARM CLOCK BAKELIKE PINK'}),frozenset({'ALARM CLOCK BAKELIKE RED '}),0.039228456913827654,0.052655310621242485,0.023547094188376753,0.6002554278416348,11.399712977848743,0.02148150760438713,2.3698750536216204,0.9495269710280158,0.061489010694418075,Phổ biến & Giá trị cao
frozenset({'ALARM CLOCK BAKELIKE PINK'}),frozenset({'ALARM CLOCK BAKELIKE GREEN'}),0.039228456913827654,0.04909819639278557,0.02094188376753507,0.5338441890166029,10.872989808950402,0.019015837285794035,2.0398797595190383,0.9451039460398261,0.05794400569834646,Phổ biến & Giá trị cao
frozenset({'ALARM CLOCK BAKELIKE GREEN'}),frozenset({'ALARM CLOCK BAKELIKE PINK'}),0.04909819639278557,0.039228456913827654,0.02094188376753507,0.42653061224489797,10.8729898089504,0.019015837285794035,1.675366747730336,0.9549135075450865,0.05794400569834646,Phổ biến & Giá trị cao
"frozenset({'ALARM CLOCK BAKELIKE RED ', 'ALARM CLOCK BAKELIKE PINK'})",frozenset({'ALARM CLOCK BAKELIKE GREEN'}),0.023547094188376753,0.04909819639278557,0.0156813627254509,0.6659574468085107,13.563786365610074,0.01452524287051056,2.84664871143561,0.9486113137399863,0.043399758199505256,Ít giá trị kinh doanh
"frozenset({'ALARM CLOCK BAKELIKE RED ', 'ALARM CLOCK BAKELIKE GREEN'})",frozenset({'ALARM CLOCK BAKELIKE PINK'}),0.03206412825651302,0.039228456913827654,0.0156813627254509,0.4890625,12.467033844189018,0.014423536451660836,1.880409136315444,0.9502576416036619,0.043399758199505256,Ít giá trị kinh doanh
"frozenset({'ALARM CLOCK BAKELIKE PINK', 'ALARM CLOCK BAKELIKE GREEN'})",frozenset({'ALARM CLOCK BAKELIKE RED '}),0.02094188376753507,0.052655310621242485,0.0156813627254509,0.7488038277511961,14.220860515617389,0.014578661330677386,3.771334096764958,0.949566478099272,0.043399758199505256,Ít giá trị kinh doanh
